sku,name,part_number,use_config_manage_stock,manage_stock,use_config_max_sale_qty,max_cart_qty,price
FN-MSSW-NONE-3,STEEL/PLAIN FLANGE NUT WITH SERRATE  M3 (5.5X8,FN03,0,0,0,3000,2
FN-MSSW-NONE-4,STEEL/PLAIN FLANGE NUT WITH SERRATE  M4 (7X10,FN04,0,0,0,2000,2
FN-MSSW-NONE-5,STEEL/PLAIN FLANGE NUT WITH SERRATE  M5 (8X12,FN05,0,0,0,1000,2
FN-MSSW-NONE-6,STEEL/PLAIN FLANGE NUT WITH SERRATE  M6(10X13,FN06,0,0,0,1000,3
FN-MSSW-NONE-8,STEEL/PLAIN FLANGE NUT WITH SERRATE  M8 (12X17,FN08,0,0,0,1000,4
FN-MSSW-NONE-10,STEEL/PLAIN FLANGE NUT WITH SERRATE  M10(14X19,FN10,0,0,0,600,7
FN-MSSW-NONE-12,STEEL/PLAIN FLANGE NUT WITH SERRATE  M12(17X24,FN12,0,0,0,340,13
FN-MSSW-NONE-16,STEEL/PLAIN FLANGE NUT WITH SERRATE  M16(24X33,FN16,0,0,0,120,36
