sku,name,part_number,use_config_manage_stock,manage_stock,use_config_max_sale_qty,max_cart_qty,price
GTCS-SCM435-BO-6-6,BLACK ULTRA LOW HEAD CAP SCREW  6 X 6,GTCS06006,0,0,0,1000,28
GTCS-SCM435-BO-6-8,BLACK ULTRA LOW HEAD CAP SCREW  6 X 8,GTCS06008,0,0,0,1000,18
GTCS-SCM435-BO-6-10,BLACK ULTRA LOW HEAD CAP SCREW  6 X 10,GTCS06010,0,0,0,1000,18
GTCS-SCM435-BO-6-12,BLACK ULTRA LOW HEAD CAP SCREW  6 X 12,GTCS06012,0,0,0,1000,19
GTCS-SCM435-BO-6-14,BLACK ULTRA LOW HEAD CAP SCREW  6 X 14,GTCS06014,0,0,0,800,19
GTCS-SCM435-BO-6-15,BLACK ULTRA LOW HEAD CAP SCREW  6 X 15,GTCS06015,0,0,0,800,19
GTCS-SCM435-BO-6-16,BLACK ULTRA LOW HEAD CAP SCREW  6 X 16,GTCS06016,0,0,0,800,20
GTCS-SCM435-BO-6-18,BLACK ULTRA LOW HEAD CAP SCREW  6 X 18,GTCS06018,0,0,0,800,20
GTCS-SCM435-BO-6-20,BLACK ULTRA LOW HEAD CAP SCREW  6 X 20,GTCS06020,0,0,0,800,20
GTCS-SCM435-BO-6-25,BLACK ULTRA LOW HEAD CAP SCREW  6 X 25,GTCS06025,0,0,0,400,22
GTCS-SCM435-BO-6-30,BLACK ULTRA LOW HEAD CAP SCREW  6 X 30,GTCS06030,0,0,0,400,27
GTCS-SCM435-BO-6-35,BLACK ULTRA LOW HEAD CAP SCREW  6 X 35,GTCS06035,0,0,0,400,31
GTCS-SCM435-BO-6-40,BLACK ULTRA LOW HEAD CAP SCREW  6 X 40,GTCS06040,0,0,0,400,34
GTCS-SCM435-BO-6-45,BLACK ULTRA LOW HEAD CAP SCREW  6 X 45,GTCS06045,0,0,0,400,38
GTCS-SCM435-BO-6-50,BLACK ULTRA LOW HEAD CAP SCREW  6 X 50,GTCS06050,0,0,0,400,40
GTCS-SCM435-BO-6-60,BLACK ULTRA LOW HEAD CAP SCREW  6 X 60,GTCS06060,0,0,0,400,51
